dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,4,0.3838383838383838,0.3838383838383838,0.3838383838383838,0.3838383838383838
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,5,0.3686868686868687,0.3686868686868687,0.3686868686868687,0.36868686868686873
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,6,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,7,0.351010101010101,0.351010101010101,0.351010101010101,0.351010101010101
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
wine_quality_white,1,n,3564,euclidean,averaged_inverse_square,10,9,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.3611111111111111
wine_quality_white,2,5,5,euclidean,majority,10,0,0.5264483627204031,0.5264483627204031,0.5264483627204031,0.5264483627204031
wine_quality_white,2,5,5,euclidean,majority,10,1,0.49747474747474746,0.49747474747474746,0.49747474747474746,0.49747474747474746
wine_quality_white,2,5,5,euclidean,majority,10,2,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151
wine_quality_white,2,5,5,euclidean,majority,10,3,0.5353535353535354,0.5353535353535354,0.5353535353535354,0.5353535353535354
wine_quality_white,2,5,5,euclidean,majority,10,4,0.47474747474747475,0.47474747474747475,0.47474747474747475,0.47474747474747475
wine_quality_white,2,5,5,euclidean,majority,10,5,0.5202020202020202,0.5202020202020202,0.5202020202020202,0.5202020202020202
wine_quality_white,2,5,5,euclidean,majority,10,6,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151
wine_quality_white,2,5,5,euclidean,majority,10,7,0.51010101010101,0.51010101010101,0.51010101010101,0.51010101010101
wine_quality_white,2,5,5,euclidean,majority,10,8,0.49747474747474746,0.49747474747474746,0.49747474747474746,0.49747474747474746
wine_quality_white,2,5,5,euclidean,majority,10,9,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.48484848484848486
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,0,0.5491183879093199,0.5491183879093199,0.5491183879093199,0.5491183879093199
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,1,0.553030303030303,0.553030303030303,0.553030303030303,0.553030303030303
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,2,0.5404040404040404,0.5404040404040404,0.5404040404040404,0.5404040404040404
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,3,0.5227272727272727,0.5227272727272727,0.5227272727272727,0.5227272727272727
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,4,0.5227272727272727,0.5227272727272727,0.5227272727272727,0.5227272727272727
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,5,0.5378787878787878,0.5378787878787878,0.5378787878787878,0.5378787878787878
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,6,0.5050505050505051,0.5050505050505051,0.5050505050505051,0.5050505050505051
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,7,0.5378787878787878,0.5378787878787878,0.5378787878787878,0.5378787878787878
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,8,0.4823232323232323,0.4823232323232323,0.4823232323232323,0.4823232323232323
wine_quality_white,2,sqrt(n),59,euclidean,majority,10,9,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.5681818181818182
wine_quality_white,2,n,3564,euclidean,majority,10,0,0.4508816120906801,0.4508816120906801,0.4508816120906801,0.4508816120906801
wine_quality_white,2,n,3564,euclidean,majority,10,1,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,2,n,3564,euclidean,majority,10,2,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,2,n,3564,euclidean,majority,10,3,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,2,n,3564,euclidean,majority,10,4,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,2,n,3564,euclidean,majority,10,5,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,2,n,3564,euclidean,majority,10,6,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,2,n,3564,euclidean,majority,10,7,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,2,n,3564,euclidean,majority,10,8,0.4494949494949495,0.4494949494949495,0.4494949494949495,0.4494949494949495
wine_quality_white,2,n,3564,euclidean,majority,10,9,0.4494949494949495,0.4494949494949495,0.4494949494949495,0.4494949494949495
wine_quality_white,2,n,3564,euclidean,inverse_square,10,0,0.46851385390428213,0.46851385390428213,0.46851385390428213,0.46851385390428213
wine_quality_white,2,n,3564,euclidean,inverse_square,10,1,0.4621212121212121,0.4621212121212121,0.4621212121212121,0.4621212121212121
wine_quality_white,2,n,3564,euclidean,inverse_square,10,2,0.48737373737373735,0.48737373737373735,0.48737373737373735,0.48737373737373735
wine_quality_white,2,n,3564,euclidean,inverse_square,10,3,0.48737373737373735,0.48737373737373735,0.48737373737373735,0.48737373737373735
wine_quality_white,2,n,3564,euclidean,inverse_square,10,4,0.4823232323232323,0.4823232323232323,0.4823232323232323,0.4823232323232323
wine_quality_white,2,n,3564,euclidean,inverse_square,10,5,0.4671717171717172,0.4671717171717172,0.4671717171717172,0.4671717171717172
wine_quality_white,2,n,3564,euclidean,inverse_square,10,6,0.49242424242424243,0.49242424242424243,0.49242424242424243,0.49242424242424243
wine_quality_white,2,n,3564,euclidean,inverse_square,10,7,0.4595959595959596,0.4595959595959596,0.4595959595959596,0.4595959595959596
wine_quality_white,2,n,3564,euclidean,inverse_square,10,8,0.49747474747474746,0.49747474747474746,0.49747474747474746,0.49747474747474746
wine_quality_white,2,n,3564,euclidean,inverse_square,10,9,0.47474747474747475,0.47474747474747475,0.47474747474747475,0.47474747474747475
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,0,0.40302267002518893,0.40302267002518893,0.40302267002518893,0.4030226700251889
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,1,0.3434343434343434,0.3434343434343434,0.3434343434343434,0.3434343434343434
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,2,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,3,0.35353535353535354,0.35353535353535354,0.35353535353535354,0.35353535353535354
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,4,0.3838383838383838,0.3838383838383838,0.3838383838383838,0.3838383838383838
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,5,0.3686868686868687,0.3686868686868687,0.3686868686868687,0.36868686868686873
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,6,0.35858585858585856,0.35858585858585856,0.35858585858585856,0.35858585858585856
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,7,0.351010101010101,0.351010101010101,0.351010101010101,0.351010101010101
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
wine_quality_white,2,n,3564,euclidean,averaged_inverse_square,10,9,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.3611111111111111
wine_quality_white,3,5,5,euclidean,majority,10,0,0.5264483627204031,0.5264483627204031,0.5264483627204031,0.5264483627204031
wine_quality_white,3,5,5,euclidean,majority,10,1,0.49747474747474746,0.49747474747474746,0.49747474747474746,0.49747474747474746
wine_quality_white,3,5,5,euclidean,majority,10,2,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151
wine_quality_white,3,5,5,euclidean,majority,10,3,0.5353535353535354,0.5353535353535354,0.5353535353535354,0.5353535353535354
wine_quality_white,3,5,5,euclidean,majority,10,4,0.47474747474747475,0.47474747474747475,0.47474747474747475,0.47474747474747475
wine_quality_white,3,5,5,euclidean,majority,10,5,0.5202020202020202,0.5202020202020202,0.5202020202020202,0.5202020202020202
wine_quality_white,3,5,5,euclidean,majority,10,6,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151
wine_quality_white,3,5,5,euclidean,majority,10,7,0.51010101010101,0.51010101010101,0.51010101010101,0.51010101010101
wine_quality_white,3,5,5,euclidean,majority,10,8,0.49747474747474746,0.49747474747474746,0.49747474747474746,0.49747474747474746
wine_quality_white,3,5,5,euclidean,majority,10,9,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.48484848484848486
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,0,0.5491183879093199,0.5491183879093199,0.5491183879093199,0.5491183879093199
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,1,0.553030303030303,0.553030303030303,0.553030303030303,0.553030303030303
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,2,0.5404040404040404,0.5404040404040404,0.5404040404040404,0.5404040404040404
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,3,0.5227272727272727,0.5227272727272727,0.5227272727272727,0.5227272727272727
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,4,0.5227272727272727,0.5227272727272727,0.5227272727272727,0.5227272727272727
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,5,0.5378787878787878,0.5378787878787878,0.5378787878787878,0.5378787878787878
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,6,0.5050505050505051,0.5050505050505051,0.5050505050505051,0.5050505050505051
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,7,0.5378787878787878,0.5378787878787878,0.5378787878787878,0.5378787878787878
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,8,0.4823232323232323,0.4823232323232323,0.4823232323232323,0.4823232323232323
wine_quality_white,3,sqrt(n),59,euclidean,majority,10,9,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.5681818181818182
wine_quality_white,3,n,3564,euclidean,majority,10,0,0.4508816120906801,0.4508816120906801,0.4508816120906801,0.4508816120906801
wine_quality_white,3,n,3564,euclidean,majority,10,1,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,3,n,3564,euclidean,majority,10,2,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,3,n,3564,euclidean,majority,10,3,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,3,n,3564,euclidean,majority,10,4,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,3,n,3564,euclidean,majority,10,5,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,3,n,3564,euclidean,majority,10,6,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,3,n,3564,euclidean,majority,10,7,0.45202020202020204,0.45202020202020204,0.45202020202020204,0.45202020202020204
wine_quality_white,3,n,3564,euclidean,majority,10,8,0.4494949494949495,0.4494949494949495,0.4494949494949495,0.4494949494949495
wine_quality_white,3,n,3564,euclidean,majority,10,9,0.4494949494949495,0.4494949494949495,0.4494949494949495,0.4494949494949495
wine_quality_white,3,n,3564,euclidean,inverse_square,10,0,0.46851385390428213,0.46851385390428213,0.46851385390428213,0.46851385390428213
